target	scope	loc	dim	value	status	latency_ms	evidence	suggestions
crates/touring-capnp-server	crate	724	F1_1	0.70198894	Warn	0	LOC-weighted over 5 files: 0.702 (worst bench_d34.rs=0.550, p10=0.550)	
crates/touring-capnp-server	crate	724	F1_10	1.0	Pass	0	LOC-weighted over 5 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server	crate	724	F1_11	0.9917127	Pass	0	LOC-weighted over 5 files: 0.992 (worst bench_generator_health.rs=0.970, p10=0.970)	
crates/touring-capnp-server	crate	724	F1_12	0.99502766	Pass	0	LOC-weighted over 5 files: 0.995 (worst bench_d34.rs=0.989, p10=0.989)	
crates/touring-capnp-server	crate	724	F1_2	0.9303235	Pass	0	LOC-weighted over 5 files: 0.930 (worst bench_d34.rs=0.858, p10=0.858)	
crates/touring-capnp-server	crate	724	F1_3	1.0	Pass	0	F1.3: duplication ratio=0.0% (0 dup / 425 meaningful lines, 0 clone block(s)) (rust) — score=1.000 (touring-analysis analyze_duplication, Type-1 block clones)	Edit tool --path crates/touring-capnp-server --operation ssr --pattern '<hardening>' --replacement '<maintain>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 2) [preventive — score is Pass; tighten pattern to harden against regression]
crates/touring-capnp-server	crate	724	F1_4	0.9860498	Pass	0	LOC-weighted over 5 files: 0.986 (worst bench_d34.rs=0.978, p10=0.978)	
crates/touring-capnp-server	crate	724	F1_5	0.9792818	Pass	0	LOC-weighted over 5 files: 0.979 (worst util.rs=0.779, p10=0.779)	
crates/touring-capnp-server	crate	724	F1_6	0.8156997	Pass	0	LOC-weighted over 5 files: 0.816 (worst bench_generator_health.rs=0.688, p10=0.688)	
crates/touring-capnp-server	crate	724	F1_7	0.9812155	Pass	0	LOC-weighted over 5 files: 0.981 (worst util.rs=0.800, p10=0.800)	
crates/touring-capnp-server	crate	724	F1_8	1.0	Pass	0	F1.8: 0 module-import cycles across 0 top-level modules (Kosaraju SCC, hermetic) — acyclic	Edit tool --path crates/touring-capnp-server --operation ssr --pattern '<hardening>' --replacement '<maintain>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 2) [preventive — score is Pass; tighten pattern to harden against regression]
crates/touring-capnp-server	crate	724	F1_9	0.9751381	Pass	0	LOC-weighted over 5 files: 0.975 (worst client_demo.rs=0.895, p10=0.895)	
crates/touring-capnp-server	crate	724	F2_1	1.0	Pass	0	LOC-weighted over 5 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server	crate	724	F2_10	0.9917127	Pass	0	LOC-weighted over 5 files: 0.992 (worst bench_generator_health.rs=0.970, p10=0.970)	
crates/touring-capnp-server	crate	724	F2_11	1.0	Pass	0	LOC-weighted over 5 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server	crate	724	F2_12	1.0	Pass	0	LOC-weighted over 5 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server	crate	724	F2_13	0.9917127	Pass	0	LOC-weighted over 5 files: 0.992 (worst bench_generator_health.rs=0.985, p10=0.985)	
crates/touring-capnp-server	crate	724	F2_2	1.0	Pass	0	worst-of 5 files: bench_d34.rs = 1.000	
crates/touring-capnp-server	crate	724	F2_3	1.0	Pass	0	worst-of 5 files: bench_d34.rs = 1.000	
crates/touring-capnp-server	crate	724	F2_4	1.0	Pass	0	LOC-weighted over 5 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server	crate	724	F2_5	1.0	Pass	0	F2.5: 0 dependency CVEs in the resolved tree | 9 non-blocking informational (unmaintained/unsound — see F4.5): dirs@6.0.0 (RUSTSEC-2020-0053, unmaintained), humantime@2.3.0 (RUSTSEC-2025-0014, unmaintained), i_tree@0.8.3 (RUSTSEC-2025-0165, unsound) (+6 more)	Edit tool --path crates/touring-capnp-server --operation ssr --pattern '<hardening>' --replacement '<maintain>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 5) [preventive — score is Pass; tighten pattern to harden against regression]
crates/touring-capnp-server	crate	724	F2_6	1.0	Pass	0	Config Security (OWASP A05, ConfigSecurityAnalyzer): 0 misconfigurations, score=1.000	Edit tool --path crates/touring-capnp-server --operation ssr --pattern '<hardening>' --replacement '<maintain>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 3) [preventive — score is Pass; tighten pattern to harden against regression]
crates/touring-capnp-server	crate	724	F2_7	1.0	Pass	0	LOC-weighted over 5 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server	crate	724	F2_8	1.0	Pass	0	LOC-weighted over 5 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server	crate	724	F2_9	1.0	Pass	0	LOC-weighted over 5 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server	crate	724	F3_1	0.9060773	Pass	0	coverage-ratio≈LOC-weighted over 5 files: 0.906 (worst util.rs=0.000, p10=0.000)	
crates/touring-capnp-server	crate	724	F3_10	0.99962485	Pass	0	F3.10: 1 arch-doc gap(s) over 4798 lines (rust) — score=1.000 (touring-analysis analyze_arch_doc: missing-madr-status / missing-madr-context / missing-madr-decision / missing-madr-consequences / no-mermaid-diagram); top: no ```mermaid architecture diagram in file (consider C4 / sequence / flow) (1x)	Edit tool --path crates/touring-capnp-server --operation ssr --pattern '<hardening>' --replacement '<maintain>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 7) [preventive — score is Pass; tighten pattern to harden against regression]
crates/touring-capnp-server	crate	724	F3_11	0.3	Fail	0	F3.11: no README* found in scope — repository has no README (absent-artifact cap, not diluted density)	Edit tool --path crates/touring-capnp-server --operation ssr --pattern '<gap>' --replacement '<fix>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 7)
crates/touring-capnp-server	crate	724	F3_12	0.97779006	Pass	0	LOC-weighted over 5 files: 0.978 (worst lib.rs=0.820, p10=0.820)	
crates/touring-capnp-server	crate	724	F3_13	1.0	Pass	0	F3.13: 0 changelog gap(s) over 2401 lines — score=1.000 (touring-analysis analyze_changelog: missing [Unreleased] / missing versioned section / missing ### Added-Changed-Fixed sub-heading / missing Keep-a-Changelog link / missing SemVer link)	Edit tool --path crates/touring-capnp-server --operation ssr --pattern '<hardening>' --replacement '<maintain>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 7) [preventive — score is Pass; tighten pattern to harden against regression]
crates/touring-capnp-server	crate	724	F3_2	1.0	Pass	0	LOC-weighted over 5 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server	crate	724	F3_3	1.0	Pass	0	F3.3: 0 pyramid-shape gap(s) over 729 lines (rust) — score=1.000 (touring-analysis analyze_test_pyramid: large-suite-no-e2e / e2e-heavy-no-unit / e2e-no-pytest / e2e-no-assertion)	Edit tool --path crates/touring-capnp-server --operation ssr --pattern '<hardening>' --replacement '<maintain>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 6) [preventive — score is Pass; tighten pattern to harden against regression]
crates/touring-capnp-server	crate	724	F3_4	1.0	Pass	0	LOC-weighted over 5 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server	crate	724	F3_5	1.0	Pass	0	LOC-weighted over 5 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server	crate	724	F3_6	1.0	Pass	0	F3.6: 0 security-test gap(s) over 729 lines (rust) — score=1.000 (touring-analysis analyze_sec_tests: no-authn-test / no-authz-test / no-input-validation-test / positive-only-security-test / no-dast-in-ci)	Edit tool --path crates/touring-capnp-server --operation ssr --pattern '<hardening>' --replacement '<maintain>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 6) [preventive — score is Pass; tighten pattern to harden against regression]
crates/touring-capnp-server	crate	724	F3_7	1.0	Pass	0	F3.7: 0 perf-test gap(s) over 729 lines (rust) — score=1.000 (touring-analysis analyze_perf_tests: no-criterion-bench / no-pytest-benchmark / no-fastcheck-perf)	Edit tool --path crates/touring-capnp-server --operation ssr --pattern '<hardening>' --replacement '<maintain>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 6) [preventive — score is Pass; tighten pattern to harden against regression]
crates/touring-capnp-server	crate	724	F3_8	1.0	Pass	0	coverage-ratio≈LOC-weighted over 5 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server	crate	724	F3_9	0.98342544	Pass	0	coverage-ratio≈LOC-weighted over 5 files: 0.983 (worst util.rs=0.956, p10=0.956)	
crates/touring-capnp-server	crate	724	F4_1	0.98895025	Pass	0	LOC-weighted over 5 files: 0.989 (worst bench_d34.rs=0.976, p10=0.976)	
crates/touring-capnp-server	crate	724	F4_10	0.7016575	Warn	0	LOC-weighted over 5 files: 0.702 (worst bench_generator_health.rs=0.542, p10=0.542)	
crates/touring-capnp-server	crate	724	F4_11	1.0	NotApplicable	0	[N/A] F4.11: no matching artifact in scope (conditional artifact — does not apply to this project type; excluded from composite)	Edit tool --path crates/touring-capnp-server --operation ssr --pattern '<gap>' --replacement '<fix>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 7)
crates/touring-capnp-server	crate	724	F4_12	0.99506176	Pass	0	FF4_12: 1 Environment Management smell(s) over 729 lines (rust) -- score=0.995          (touring-analysis analyze_env: see header for detector catalog); top: no `figment` / `config` / `dotenvy` reference (no structured config layer) (1x)	Edit tool --path crates/touring-capnp-server --operation ssr --pattern '<hardening>' --replacement '<maintain>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 7) [preventive — score is Pass; tighten pattern to harden against regression]
crates/touring-capnp-server	crate	724	F4_2	0.98756903	Pass	0	LOC-weighted over 5 files: 0.988 (worst bench_generator_health.rs=0.955, p10=0.955)	
crates/touring-capnp-server	crate	724	F4_3	1.0	Pass	0	worst-of 5 files: bench_d34.rs = 1.000	
crates/touring-capnp-server	crate	724	F4_4	1.0	Pass	0	LOC-weighted over 5 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server	crate	724	F4_5	0.7	Warn	0	F4.5: 90 duplicate-version crate(s): accesskit_consumer (3 versions: 0.35.0, 0.36.0, 0.37.0), addr2line (2 versions: 0.25.1, 0.26.1), bit-set (2 versions: 0.10.0, 0.9.1), block-buffer (2 versions: 0.10.4, 0.12.1) (+86 more) — score=0.700 | 9 transitive informational advisories filtered by deny.toml unmaintained=workspace/unsound=workspace policy	Edit tool --path crates/touring-capnp-server --operation ssr --pattern '<gap>' --replacement '<fix>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 5)
crates/touring-capnp-server	crate	724	F4_6	0.91764706	Pass	0	FF4_6: 1 Build Configuration smell(s) over 51 lines (rust) -- score=0.918          (touring-analysis analyze_build_config: see header for detector catalog); top: no [profile.release] override (uses Cargo defaults -- large binary, no LTO/strip/panic=abort) (1x)	Edit tool --path crates/touring-capnp-server --operation ssr --pattern '<hardening>' --replacement '<maintain>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 5) [preventive — score is Pass; tighten pattern to harden against regression]
crates/touring-capnp-server	crate	724	F4_7	0.5568	Warn	0	FF4_7: 35 CI/CD Pipeline smell(s) over 375 lines (rust) -- score=0.557          (touring-analysis analyze_cicd: see header for detector catalog); top: action pinned by mutable tag (use SHA for supply-chain safety -- e.g. `actions/checkout@<40-hex-sha>`) (34x)	Edit tool --path crates/touring-capnp-server --operation ssr --pattern '<gap>' --replacement '<fix>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 7)
crates/touring-capnp-server	crate	724	F4_8	1.0	NotApplicable	0	[N/A] F4.8: no matching artifact in scope (conditional artifact — does not apply to this project type; excluded from composite)	Edit tool --path crates/touring-capnp-server --operation ssr --pattern '<gap>' --replacement '<fix>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 7)
